Type,Code,Name (Khmer),Name (Latin),Reference,Official Note,Note (by Checker)
????,6040401,??????????,Sakream Cheung,????????? ??? ???.?,,
????,6040402,????????,Veal Thnal,????????? ??? ???.?,,
????,6040403,????????,Ou Khsang,????????? ??? ???.?,,
????,6040404,?????,Prich,????????? ??? ???.?,,
????,6040405,???????,Srae Veal,????????? ??? ???.?,,
????,6040406,????????,Ou Angkor,????????? ??? ???.?,,
????,6040407,????????????,Trapeang Pring,????????? ??? ???.?,,
????,6040408,??????,Kanteak,????????? ??? ???.?,,
????,6040409,???????,Veal Chas,????????? ??? ???.?,,
????,6040410,??????????,Peam Atit,????????? ??? ???.?,,
????,6040411,????????????,Sakream Tboung,????????? ??? ???.?,,
???,60405,?????????,Sala Visai,??? ??? ???.?,,
????,6040501,????????????,Trapeang Kraol,????????? ??? ???.?,,
????,6040502,????????,Bos Veaeng,????????? ??? ???.?,,
????,6040503,????????,Ruessei Douch,????????? ??? ???.?,,
????,6040504,????,Srae,????????? ??? ???.?,,
????,6040505,?????,Chamnar,????????? ??? ???.?,,
????,6040506,????????,Ou Krouch,????????? ??? ???.?,,
????,6040507,?????????,Sala Visai,????????? ??? ???.?,,
????,6040508,??????,Andas,????????? ??? ???.?,,
????,6040509,????????????,Trapeang Phdiek,????????? ??? ???.?,,
????,6040510,??????????,Trapeang Thma,????????? ??? ???.?,??????????????????????? ??????????,
????,6040511,???????????,Bos Sramaoch,????????? ??? ???.?,,
????,6040512,?????????,Veal Lpeak,????????? ??? ???.?,,
????,6040513,??????,Khmak,????????? ??? ???.?,,
????,6040514,?????,Talaek,????????? ??? ???.?,,
????,6040515,?????????,Dang Anteak,????????? ??? ???.?,,
????,6040516,???,Chey,????????? ??? ???.?,,
????,6040517,????,Kokir,????????? ??? ???.?,,
????,6040518,?????????,Kvan Tieng,????????? ??? ???.?,,
????,6040519,????????,Sala Popel,????????? ??? ???.?,,
???,60406,???????,Sameakki,??? ??? ???.?,,
????,6040601,????,Thmei,????????? ??? ???.?,,
????,6040602,?????,Trach,????????? ??? ???.?,,
????,6040603,?????,Kampeut,????????? ??? ???.?,,
????,6040604,????????,Chan Serei,????????? ??? ???.?,,
????,6040605,?????,Samraong,????????? ??? ???.?,,
???,60407,????????,Tuol Kreul,??? ??? ???.?,,
????,6040701,??????,Chonlus,????????? ??? ???.?,,
????,6040702,?????  ?,Mreak Ka,????????? ??? ???.?,,
????,6040703,?????  ?,Mreak Kha,????????? ??? ???.?,,
????,6040704,?????,Krapeu,????????? ??? ???.?,,
????,6040705,????????,Tuol Kreul,????????? ??? ???.?,,
????,6040706,??,Thum,????????? ??? ???.?,,
????,6040707,?????,Thnal,????????? ??? ???.?,,
?????,605,????????????,Prasat Sambour,????????? ??? ???.?,,
???,60501,???,Chhuk,????????? ??? ???.?,,
????,6050101,???????????,Aksar Krahay,????????? ??? ???.?,?????????????????????? ???????????,
????,6050102,????????,Serei Sokha,????????? ??? ???.?,,
????,6050103,??????,Chhuk Boeng,????????? ??? ???.?,,
????,6050104,????????,Chhuk Stueng,????????? ??? ???.?,,
????,6050105,?????,S'ier,????????? ??? ???.?,,
????,6050106,????????,Chhuk Kruos,????????? ??? ???.?,,
????,6050107,???????????,Anlong Slaeng,????????? ??? ???.?,,
????,6050108,????????,Boeng Khvaek,????????? ??? ???.?,,
????,6050109,?????,Krabau,????????? ??? ???.?,,
????,6050110,??????????,Kamping Ta Kong,????????? ??? ???.?,,
????,6050111,?????,Ta Aok,????????? ??? ???.?,,
????,6050112,???????,Prasat,????????? ??? ???.?,??????????????,
????,6050113,??????,Veal Veaeng,????????? ??? ???.?,,
????,6050114,???????????,Anlong Khtum,????????? ??? ???.?,,
????,6050115,?????????,Tuek Andoung,????????? ??? ???.?,,
????,6050116,???????????,Trapeang Sala,????????? ??? ???.?,??????????????,
???,60502,???,Koul,????????? ??? ???.?,,
????,6050201,?????????,Kampong Chvea,????????? ??? ???.?,,
????,6050202,????????,Ou Ta Siev,????????? ??? ???.?,,
????,6050203,?????,Chamreh,????????? ??? ???.?,,
????,6050204,????????,Bak Srei,????????? ??? ???.?,,
????,6050205,??????,Tuol Char,????????? ??? ???.?,,
????,6050206,????????,Tuol Thnong,????????? ??? ???.?,,
????,6050207,??????,Panhchak La,????????? ??? ???.?,,
????,6050208,?????,Kyov,????????? ??? ???.?,,
????,6050209,??????????,Chheu Teal Chrum,????????? ??? ???.?,,
????,6050210,????????,Kampong Luk,????????? ??? ???.?,,
????,6050211,???????,Tuol Pongro,????????? ??? ???.?,,
???,60503,???????,Sambour,????????? ??? ???.?,,
????,6050301,??????????,Kampong Chheu Teal,????????? ??? ???.?,,
????,6050302,?????,Sambour,????????? ??? ???.?,,
????,6050303,?????,Samret,????????? ??? ???.?,,
????,6050304,????????,Chramas,????????? ??? ???.?,,
????,6050305,????????,Koun K'aek,????????? ??? ???.?,,
????,6050306,???????,Cheay Sampov,????????? ??? ???.?,,
????,6050307,??????????,Pou Tret,????????? ??? ???.?,,
????,6050308,??????,Chranieng,????????? ??? ???.?,,
????,6050309,?????,Preaek,????????? ??? ???.?,,
????,6050310,????????,Char Chrum,????????? ??? ???.?,,
????,6050311,????????????,Trapeang Chrok,????????? ??? ???.?,????????????????????? ????????????,
????,6050312,??????,Pralay,????????? ??? ???.?,,
????,6050313,?????,Char,????????? ??? ???.?,?????????????? ?????,
????,6050314,?????????,Ou Kru Kae,????????? ??? ???.?,,
????,6050315,???????,At Su,????????? ??? ???.?,,
???,60504,?????,Sraeung,????????? ??? ???.?,,
????,6050401,????????,Tnaot Chuor,????????? ??? ???.?,,
????,6050402,???????????,Anlong Slaeng,????????? ??? ???.?,,
????,6050403,????????,Boeng Khvaek,????????? ??? ???.?,,
????,6050404,???,Beng,????????? ??? ???.?,,
????,6050405,?????,Svay,????????? ??? ???.?,,
????,6050406,??????,Choam Boeng,????????? ??? ???.?,,
????,6050407,?????,Tumnob,????????? ??? ???.?,,
????,6050408,????,Thmei,????????? ??? ???.?,,
????,6050409,?????,Sraeung,????????? ??? ???.?,,
???,60505,?????????,Tang Krasau,????????? ??? ???.?,,
????,6050501,?????????,Tang Krasau,????????? ??? ???.?,,
